created_at,days_registered,favourites_count,followers_count,friends_count,listed_count,name,screen_name,statuses_count
2013-04-18 20:54:05+00:00,1956,376,1098,218,37,Obscured Name,AndyBateyPi,1336
2012-12-26 18:37:29+00:00,2069,4568,1092,3130,117,Obscured Name,CaiusSivjus,3799
2009-05-04 04:12:41+00:00,3401,23106,1073,4499,39,Obscured Name,hubutm20,8558
2009-06-11 08:07:21+00:00,3363,228,1063,1774,143,Obscured Name,socialphysicist,5612
2008-02-10 15:16:24+00:00,3850,799,1060,617,45,Obscured Name,gauden,1521
2007-03-24 14:26:47+00:00,4173,6527,1052,1638,93,Obscured Name,danjamker,7912
2009-10-24 11:35:39+00:00,3228,2525,1044,3331,94,Obscured Name,alegonbel,2943
2014-02-07 23:31:24+00:00,1661,146603,1039,2387,26,Obscured Name,at_least_weasel,18804
2009-04-28 14:27:43+00:00,3407,1308,1034,2888,86,Obscured Name,hreikeras,4046
2011-01-23 09:36:22+00:00,2772,67,1029,218,83,Obscured Name,antocuni,555
2012-06-05 14:42:36+00:00,2273,783,1026,781,65,Obscured Name,MargrietGr,1056
2009-11-12 20:43:04+00:00,3209,10,1020,3165,38,Obscured Name,sundeepteki,728
2015-10-09 19:51:03+00:00,1052,954,1016,1258,41,Obscured Name,PyCaribbean,1117
2008-12-13 16:31:46+00:00,3543,1064,1015,636,81,Obscured Name,_Tillmann,2082
2008-07-19 18:58:52+00:00,3690,5623,1013,3222,258,Obscured Name,scottedwards200,5745
2011-08-23 20:15:38+00:00,2560,6127,1012,2527,35,Obscured Name,inda_licio,6000
2011-04-10 01:42:05+00:00,2695,4839,1011,897,26,Obscured Name,katestorrs,2093
2009-04-26 16:43:53+00:00,3409,29502,1004,4989,32,Obscured Name,ionekr,7575
2009-04-20 21:29:56+00:00,3415,1203,997,3351,47,Obscured Name,dermotmcguckin,2911
2007-12-21 22:09:47+00:00,3901,5372,990,3497,69,Obscured Name,mdperry,3789
2010-01-22 16:11:14+00:00,3138,18557,986,308,107,Obscured Name,RTFMCelia,6343
2009-05-25 02:11:07+00:00,3380,1209,980,285,94,Obscured Name,stefankasberger,4997
